id,kind,level,baseCP,currentCP
Fara,hero,1,52,44
Hondo,hero,1,73.5,61.5
Runa,hero,1,70.8,59.8
Kaja,hero,1,57.4,47.4
routine-1,enemy,1,21.2,21.2
hard-1,enemy,1,31,31
elite-1,enemy,1,43.4,43.4
boss-1,enemy,1,65.2,65.2
Fara,hero,2,55.1,47.1
Hondo,hero,2,78.8,66.8
Runa,hero,2,75.8,64.8
Kaja,hero,2,61.7,51.7
routine-2,enemy,2,21.5,21.5
hard-2,enemy,2,31.5,31.5
elite-2,enemy,2,44.3,44.3
boss-2,enemy,2,66.5,66.5
Fara,hero,3,60.1,52.1
Hondo,hero,3,84.8,72.8
Runa,hero,3,81.2,70.2
Kaja,hero,3,66.4,56.4
routine-3,enemy,3,22.2,22.2
hard-3,enemy,3,32.4,32.4
elite-3,enemy,3,46.9,46.9
boss-3,enemy,3,71.5,71.5
Fara,hero,4,65,57
Hondo,hero,4,95.9,82.9
Runa,hero,4,87,76
Kaja,hero,4,72.9,62.9
routine-4,enemy,4,23.9,23.9
hard-4,enemy,4,34.6,34.6
elite-4,enemy,4,49,49
boss-4,enemy,4,75,75
Fara,hero,5,70.1,62.1
Hondo,hero,5,101.8,88.8
Runa,hero,5,97.8,85.8
Kaja,hero,5,81.4,70.4
routine-5,enemy,5,24.3,24.3
hard-5,enemy,5,35.9,35.9
elite-5,enemy,5,53.4,53.4
boss-5,enemy,5,80.2,80.2
Fara,hero,6,75.1,67.1
Hondo,hero,6,108.2,95.2
Runa,hero,6,103.9,91.9
Kaja,hero,6,88.2,77.2
routine-6,enemy,6,26.6,26.6
hard-6,enemy,6,39.9,39.9
elite-6,enemy,6,55.5,55.5
boss-6,enemy,6,83.8,83.8
Fara,hero,7,78.3,70.3
Hondo,hero,7,120.5,106.5
Runa,hero,7,109.6,97.6
Kaja,hero,7,93.1,82.1
routine-7,enemy,7,27.2,27.2
hard-7,enemy,7,40.8,40.8
elite-7,enemy,7,58.2,58.2
boss-7,enemy,7,88.9,88.9
Fara,hero,8,87.1,78.1
Hondo,hero,8,126.7,112.7
Runa,hero,8,121.7,108.7
Kaja,hero,8,97.6,86.6
routine-8,enemy,8,27.6,27.6
hard-8,enemy,8,43.9,43.9
elite-8,enemy,8,61.3,61.3
boss-8,enemy,8,92.6,92.6
Fara,hero,9,92.3,83.3
Hondo,hero,9,133,119
Runa,hero,9,128.1,115.1
Kaja,hero,9,109.5,97.5
routine-9,enemy,9,29.4,29.4
hard-9,enemy,9,44.5,44.5
elite-9,enemy,9,65.2,65.2
boss-9,enemy,9,95.9,95.9
Fara,hero,91,626.7,608.7
Hondo,hero,91,806.8,788.8
Runa,hero,91,806.8,788.8
Kaja,hero,91,728.1,710.1
routine-91,enemy,91,128.3,128.3
hard-91,enemy,91,199.4,199.4
elite-91,enemy,91,271.8,271.8
boss-91,enemy,91,400.6,400.6
Fara,hero,92,630,612
Hondo,hero,92,813.7,795.7
Runa,hero,92,813.9,795.9
Kaja,hero,92,733.7,715.7
routine-92,enemy,92,128.7,128.7
hard-92,enemy,92,201,201
elite-92,enemy,92,276.6,276.6
boss-92,enemy,92,403.9,403.9
Fara,hero,93,636.7,618.7
Hondo,hero,93,821.6,803.6
Runa,hero,93,821.4,803.4
Kaja,hero,93,739.9,721.9
routine-93,enemy,93,132.7,132.7
hard-93,enemy,93,204.8,204.8
elite-93,enemy,93,277.8,277.8
boss-93,enemy,93,408.7,408.7
Fara,hero,94,643.4,625.4
Hondo,hero,94,829,811
Runa,hero,94,829.3,811.3
Kaja,hero,94,748.8,730.8
routine-94,enemy,94,133.5,133.5
hard-94,enemy,94,205.4,205.4
elite-94,enemy,94,279.9,279.9
boss-94,enemy,94,412,412
Fara,hero,95,650.1,632.1
Hondo,hero,95,836.4,818.4
Runa,hero,95,836.4,818.4
Kaja,hero,95,754.4,736.4
routine-95,enemy,95,133.9,133.9
hard-95,enemy,95,207.1,207.1
elite-95,enemy,95,283.9,283.9
boss-95,enemy,95,414,414
Fara,hero,96,656.8,638.8
Hondo,hero,96,844.3,826.3
Runa,hero,96,844.3,826.3
Kaja,hero,96,763.4,745.4
routine-96,enemy,96,134.7,134.7
hard-96,enemy,96,208.1,208.1
elite-96,enemy,96,285.1,285.1
boss-96,enemy,96,420,420
Fara,hero,97,660.1,642.1
Hondo,hero,97,851.7,833.7
Runa,hero,97,851.8,833.8
Kaja,hero,97,769.5,751.5
routine-97,enemy,97,135.9,135.9
hard-97,enemy,97,211.8,211.8
elite-97,enemy,97,287.2,287.2
boss-97,enemy,97,421.7,421.7
Fara,hero,98,666.8,648.8
Hondo,hero,98,859.2,841.2
Runa,hero,98,858.8,840.8
Kaja,hero,98,775.2,757.2
routine-98,enemy,98,136.3,136.3
hard-98,enemy,98,213.2,213.2
elite-98,enemy,98,291.2,291.2
boss-98,enemy,98,425,425
Fara,hero,99,673.5,655.5
Hondo,hero,99,866.6,848.6
Runa,hero,99,866.7,848.7
Kaja,hero,99,784.1,766.1
routine-99,enemy,99,137.1,137.1
hard-99,enemy,99,214.2,214.2
elite-99,enemy,99,293.2,293.2
boss-99,enemy,99,429.7,429.7
